case,id,st,gender,race,mental,social,yes_bin,shooter
89,Red Lake High School,Minnesota,Male,Native American or Alaska Native,1,1,1,yes
90,Goleta Post Office,California,Female,White American or European American,1,1,1,yes
91,"Party in Capitol Hill, Seattle",Washington,Male,White American or European American,0,1,1,yes
92,Essex Elementary School,Vermont,Male,Black American or African American,1,1,1,yes
93,Orange High School,North Carolina,Male,Some other race,1,1,1,yes
94,Duquesne University,Pennsylvania,Male,Black American or African American,0,1,1,yes
95,West Nickel Mines Amish School,Pennsylvania,Male,White American or European American,0,1,1,yes
96,Trolley Square,Utah,Male,White American or European American,1,1,1,yes
97,Springwater Trail High School,Oregon,Male,Some other race,0,1,1,yes
98,Virginia Tech  Campus,Virginia,Male,Asian American,1,0,1,yes
99,"Apartment in Crandon, Wisconsin",Wisconsin,Male,White American or European American,0,1,1,yes
100,SuccessTech Academy,Ohio,Male,White American or European American,1,1,1,yes
101,South Middle School Football Game,Michigan,Male,Black American or African American,0,1,1,yes
102,Westroads Mall,Nebraska,Male,White American or European American,1,0,1,yes
103,Youth With A Mission and New Life Church,Colorado,Male,White American or European American,1,1,1,yes
104,Mojave High School Bus,Nevada,Male,Black American or African American,0,1,1,yes
105,"Carnation, Washington",Washington,Male/Female,White American or European American,0,1,1,yes
106,Kirkwood City Hall,Missouri,Male,Black American or African American,0,1,1,yes
107,Northern Illinois University,Illinois,Male,White American or European American,1,1,1,yes
108,Atlantis Plastics,Kentucky,Male,White American or European American,0,1,1,yes
109,South Mountain Community College,Arizona,Male,Black American or African American,0,1,1,yes
110,University of Central Arkansas,Arkansas,Male,Black American or African American,0,1,1,yes
111,"Covina, California",California,Male,White American or European American,0,1,1,yes
112,"Geneva County, Alabama",Alabama,Male,White American or European American,0,1,1,yes
113,"Rivermark, Santa Clara, California",California,Male,Asian American,0,1,1,yes
114,Pinelake Health and Rehab nursing home,North Carolina,Male,White American or European American,1,1,1,yes
115,Immigration Services Center in Binghamton,New York,Male,Asian American,1,1,1,yes
116,Fort Hood Army Base,Texas,Male,White American or European American,1,1,1,yes
117,Parkland Coffee Shop,Washington,Male,Black American or African American,1,0,1,yes
118,University of Alabama in Huntsville,Alabama,Female,White American or European American,0,1,1,yes
119,Hartford Beer Distributors,Connecticut,Male,Black American or African American,0,1,1,yes
120,"Tucson, Arizona",Arizona,Male,White American or European American,1,0,1,yes
121,Youngstown State University,Ohio,Male,Black American or African American,0,1,1,yes
122,Southern Union State Community College,Alabama,Male,White American or European American,1,1,1,yes
123,Residences in Grand Rapids,Michigan,Male,Black American or African American,1,1,1,yes
124,Carson City IHOP,Nevada,Male,Some other race,1,1,1,yes
125,Salon Meritage,California,Male,White American or European American,1,1,1,yes
126,Su Jung Health Sauna,Georgia,Male,Asian American,1,1,1,yes
127,Chardon High School,Ohio,Male,White American or European American,1,1,1,yes
128,Oikos University,California,Male,Asian American,1,1,1,yes
129,"North Tulsa, Oklahoma",Oklahoma,Male,White American or European American,0,1,1,yes
130,Cafe in Seattle,Washington,Male,White American or European American,1,1,1,yes
131,University Heights Apartments in Auburn,Alabama,Male,Black American or African American,0,1,1,yes
132,Movie Theater in Aurora,Colorado,Male,White American or European American,1,1,1,yes
133,Sikh Temple in Wisconsin,Wisconsin,Male,White American or European American,0,1,1,yes
134,Accent Signage Systems in Minneapolis,Minnesota,Male,White American or European American,1,1,1,yes
135,The Spot Nightclub,Florida,Male,Black American or African American,0,1,1,yes
136,Azana Spa in Brookfield,Wisconsin,Male,Black American or African American,0,1,1,yes
137,Clackamas Town Center,Oregon,Male,Some other race,0,1,1,yes
138,Sandy Hook Elementary School,Connecticut,Male,White American or European American,1,1,1,yes
139,South Valley Residence,New Mexico,Male,Some other race,1,1,1,yes
140,Phoenix Law Firm,Arizona,Male,White American or European American,0,1,1,yes
141,Los Angeles Police Department,California,Male,Black American or African American,1,1,1,yes
142,"Ladera Ranch, Santa Ana, Tustin and Orange",California,Male,White American or European American,1,0,1,yes
143,Pinewood Village Apartments,Washington,Male,Black American or African American,0,1,1,yes
144,Village of Manchester in Illinois,Illinois,Male,White American or European American,0,1,1,yes
145,Santa Monica College,California,Male,White American or European American,1,0,1,yes
146,Hialeah Apartments,Florida,Male,Some other race,1,1,1,yes
147,Ross Township Supervisor Council Meeting,Pennsylvania,Male,White American or European American,0,1,1,yes
148,Oklahoma City Residence,Oklahoma,Male,White American or European American,1,1,1,yes
149,Washington Navy Yard,District of Columbia,Male,Black American or African American,1,0,1,yes
150,Sparks Middle School,Nevada,Male,Some other race,0,1,1,yes
151,St. Aloysius Church,Washington,Male,White American or European American,1,1,1,yes
152,Wat Promkunaram Buddhist Temple,Arizona,Male,Asian American/Some other race,0,1,1,yes
153,Tyler Courthouse,Texas,Male,Some other race,0,1,1,yes
154,Mohawk and Herkimer Villages in New York,New York,Male,White American or European American,0,1,1,yes
155,Los Angeles International Airport (LAX),California,Male,White American or European American,0,1,1,yes
156,Homes in Desoto and Dallas,Texas,Male,Black American or African American,0,1,1,yes
156,Centennial Hill Bar & Grill,Alabama,Male,Black American or African American,0,1,1,yes
157,San Francisco Tenderloin,California,Male,Black American or African American,0,1,1,yes
158,Fort Hood,Texas,Male,Some other race,1,1,1,yes
159,Kennesaw FedEx,Georgia,Male,White American or European American,0,1,1,yes
160,Isla Vista,California,Male,White American or European American,1,1,1,yes
161,Seattle Pacific University,Washington,Male,Some other race,1,1,1,yes
162,Nellis Plaza,Nevada,Male/Female,White American or European American,0,1,1,yes
163,Bourbon Street New Orleans,Louisiana,Male,Two or more races,0,1,1,yes
164,Albuquerque Auto Shop,New Mexico,Male,Some other race,0,1,1,yes
165,Marysville-Pilchuck High School,Washington,Male,Native American or Alaska Native,0,1,1,yes
166,Florida State University,Florida,Male,Black American or African American,1,1,1,yes
167,Cedarville Rancheria Tribe,California,Female,Native American or Alaska Native,0,1,1,yes
168,Massachusetts Abortion Clinic,Massachusetts,Male,White American or European American,1,1,1,yes
168,Ensley Birmingham,Alabama,Male,Black American or African American,0,1,1,yes
169,"Pennsburg, Souderton, Lansdale, Harleysville",Pennsylvania,Male,White American or European American,1,1,1,yes
170,Memphis,Tennessee,Male,Black American or African American,0,1,1,yes
173,Moscow,Idaho,Male,Asian American,0,0,0,not
177,Queens,New York,Male,Black American or African American,0,1,1,yes
178,LaGrange,Georgia,Male,White American or European American,0,0,0,not
180,Omaha,Nebraska,Male,Black American or African American,0,1,1,yes
181,Chapel Hill,North Carolina,Male,White American or European American,1,1,1,yes
182,Monroeville Macy's,Pennsylvania,Male,Black American or African American,0,1,1,yes
183,Moon Lake,Florida,Male/Female,White American or European American/Some other Race,1,1,1,yes
184,Tyrone,Missouri,Male,White American or European American,0,1,1,yes
185,Morgantown,West Virginia,Male,White American or European American,0,1,1,yes
186,Douglasville,Georgia,Male,Black American or African American,0,1,1,yes
187,McAvan's Pub,New York,Male,Black American or African American,0,1,1,yes
188,Clarkesville,Georgia,Male,White American or European American,0,1,1,yes
189,Killeen,Texas,Male,Black American or African American,0,1,1,yes
190,Charlotte,North Carolina,Male,Some other race,1,1,1,yes
191,Birmingham's Washington Park,Alabama,Male,Black American or African American,0,1,1,yes
192,Tarboro,North Carolina,Male,Black American or African American,1,0,1,yes
194,Brookhaven,Mississippi,Male,Black American or African American,0,1,1,yes
195,Cottonwood,Alabama,Male,White American or European American,0,1,1,yes
196,Mesa,Arizona,Male,White American or European American,1,1,1,yes
197,Little Water,New Mexico,Male,Unknown,1,1,1,yes
198,Panama City Beach,Florida,Male,Black American or African American,0,1,1,yes
199,Tulsa,Oklahoma,Male,Asian American,0,1,1,yes
200,Daytona Beach,Florida,Male,Black American or African American,0,1,1,yes
