@relation mass_shootings_data
%@attribute title String 
%@attribute location String
%@attribute summary string
@attribute fatalities numeric
@attribute injuries numeric
@attribute total_victims numeric
@attribute mental_health_issues {Yes,No,Unknown}
@attribute race {White_American,Black_American,Asian,Asian_American,Mexican,Unknown,Native_American,Other}
@attribute gender {Male,Female,Unknown,Male/Female}
@attribute Date date 'yyyy/MM/dd'
@attribute latitude real
@attribute longitude real

@data
3,2,4,'Unknown','White_American','Male',2015/02/22,34.61025711,-83.52918091
3,0,3,'Unknown','Other','Male',2015/02/24,35.226354,-80.836788
5,2,6,'Unknown','Black_American','Male',2015/02/07,33.71059292,-84.71564276
4,1,4,'No','Black_American','Male',2015/11/13,30.33216122,-81.67576993
3,3,6,'Yes','Black_American','Male',2002/01/16,37.27537712,-82.09877234
5,0,5,'Unknown','White_American','Male',2015/01/28,33.03607062,-85.0287065
7,2,9,'Yes','White_American','Male',1976/07/12,33.88404244,-117.92785
3,9,11,'Unknown','White_American','Male',2015/07/23,30.21233538,-92.0316453
1,3,3,'Yes','Asian_American','Male',1993/07/08,41.2281367,-111.9675317
6,1,7,'Yes','White_American','Male',1984/06/29,32.79480596,-96.76631094
1,9,10,'Unknown','Other','Male',2014/06/29,30.0687242,-89.93147412
1,2,3,'Unknown','Other','Male',2014/06/05,47.62199575,-122.323646
8,4,11,'Yes','White_American','Male',2005/03/12,43.06396691,-88.12299758
1,2,3,'Yes','White_American','Male',1982/03/19,36.18931923,-115.3264875
0,7,7,'Unknown','Black_American','Male',2015/03/28,30.22540212,-85.87371301
2,13,15,'Yes','White_American','Male',2001/03/05,32.86357277,-117.1281628
2,1,3,'Yes','Black_American','Male',1985/03/06,33.7629969,-84.4231328
5,0,4,'Yes','White_American','Male',1998/03/06,41.68700845,-72.73083927
2,3,5,'Unknown','Unknown','Male',2015/05/01,43.06420322,-87.96724385
5,0,4,'Unknown','Unknown','Male',2015/05/12,32.15358905,-110.9677647
0,6,6,'Yes','White_American','Male',1999/05/20,33.66086267,-84.02688527
1,4,5,'Unknown','Black_American','Male',2015/05/25,39.85566372,-88.93346458
4,1,4,'Unknown','Unknown','Male',2015/05/03,44.20455909,-88.4484585
3,1,3,'Unknown','Unknown','Male',2015/05/31,41.47657557,-81.68051502
4,1,4,'No','White_American','Male',2015/11/23,39.98861445,-82.98904135
2,4,5,'Yes','White_American','Male',1971/11/11,47.67367375,-117.4159843
5,5,9,'Yes','White_American','Male',1991/11/14,42.50840203,-83.15387427
2,1,3,'Yes','White_American','Male',1995/11/15,35.37810374,-87.00610559
13,32,45,'Unknown','White_American','Male',2009/11/05,31.13814354,-97.77797804
1,3,4,'Yes','White_American','Male',1994/11/07,41.60713735,-81.46902046
24,20,43,'Yes','White_American','Male',1991/10/16,31.07925506,-97.73392317
4,4,7,'Unknown','Black_American','Male',2012/10/21,43.06396691,-88.12299758
2,2,3,'Unknown','Other','Male',2013/10/21,39.54058388,-119.748291
0,1,3,'Unknown','Black_American','Male',2008/10/26,35.08130744,-92.43278275
4,0,3,'Yes','Other','Male',2002/10/28,32.15358905,-110.9677647
2,5,7,'Yes','Black_American','Male',1979/10/06,34.05098834,-80.82077527
2,2,4,'No','Black_American','Male',2016/02/27,38.6697,-77.3524
1,2,3,'No','Black_American','Male',2015/11/07,31.21094544,-82.35793452
0,6,6,'Yes','Unknown','Male',1992/09/11,35.18322484,-101.8805688
8,7,14,'Yes','White_American','Male',1999/09/15,32.74802142,-97.31305148
7,2,8,'Unknown','White_American','Male',2012/09/27,44.96358722,-93.26783687
0,15,15,'Unknown','Black_American','Male',2012/09/28,25.79653943,-80.20840397
0,5,5,'Unknown','Unknown','Male',2015/04/05,39.77725479,-86.14635359
4,1,4,'Unknown','Black_American','Male',2015/02/22,31.07925506,-97.73392317
3,1,3,'Unknown','White_American','Male',2015/03/15,31.0549687,-85.30100084
3,0,3,'Unknown','White_American','Male',2015/02/10,35.92681467,-79.03850407
0,3,3,'Unknown','Black_American','Male',2015/02/07,40.4257455,-79.76092565
1,6,6,'Unknown','White_American','Male',2014/04/29,34.02529674,-84.61766831
3,5,8,'Unknown','Black_American','Male',2015/01/24,41.265922,-96.05381421
7,3,10,'Unknown','Asian','Male',2012/04/02,37.8043808,-122.2708166
7,0,7,'Unknown','Mexican','Male',2013/07/26,25.8670105,-80.29146268
1,3,4,'No','Unknown','Unknown',2016/02/06,34.052234,-118.243685
9,4,13,'Unknown','White_American','Male',2007/12/05,41.2587317,-95.9378732
3,9,12,'No','White_American','Male',2015/11/27,?,?
8,3,11,'Unknown','White_American','Male',2009/03/29,35.345802,-79.4170543
3,1,4,'Unknown','Mexican','Male',2015/06/11,?,?
2,2,4,'No','Black_American','Male',2016/03/19,32.543745,-86.211913
1,4,4,'No','White_American','Male',2016/04/19,34.16204,-86.475543
1,3,4,'No','Other','Male',2016/02/28,33.997197,-117.48548
1,6,7,'No','Other','Male',2016/03/06,42.391764,-71.032828
4,0,4,'No','Other','Male',2016/03/07,39.114053,-94.627464
1,4,5,'No','Unknown','Unknown',2016/04/26,38.845113,-76.874972
0,3,3,'No','Black_American','Male',2016/02/09,43.201126,-86.238946
